Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Predicted Performance Index
9,69,Yes,5,9,66.6655
4,81,Yes,8,1,64.4548
8,51,Yes,4,9,44.9972
4,52,No,5,3,33.2795
5,91,No,4,4,75.5486
6,59,No,9,0,47.477
7,76,Yes,7,7,68.6467
9,98,Yes,4,8,95.5
5,60,No,9,2,46.0299
4,64,No,8,6,47.5457
2,65,Yes,8,1,42.448
5,40,Yes,8,9,27.164
9,83,No,8,9,81.7804
8,45,Yes,9,7,40.9253
7,67,Yes,8,6,59.7743
7,84,No,6,0,74.3258
4,69,No,8,5,52.4373
3,57,No,6,3,35.9947
5,66,No,6,8,51.8649
2,60,Yes,6,5,37.1771
3,99,No,8,8,80.7063
7,79,Yes,9,6,72.475
9,54,Yes,4,4,49.9227
5,91,No,6,3,76.3232
1,57,No,8,3,31.2462
7,94,Yes,4,2,84.5214
2,76,Yes,9,8,55.5148
9,99,Yes,5,7,96.8063
2,91,No,8,2,68.5166
6,59,No,9,5,48.4655
8,40,No,4,3,32.0205
1,60,No,9,5,35.1814
4,62,No,7,1,44.0352
3,93,Yes,9,5,75.0859
5,58,Yes,8,8,45.2881
1,67,No,9,3,41.9111
6,70,No,8,5,59.176
1,70,No,9,4,45.1624
8,61,No,8,9,56.5268
6,84,Yes,4,5,72.0754
9,48,Yes,9,3,46.0485
2,91,No,9,2,69.0028
5,48,Yes,7,0,33.0414
9,55,No,7,2,51.4098
1,71,No,7,7,45.8011
4,53,No,8,9,36.9422
7,47,No,8,7,39.0207
8,85,Yes,6,8,80.3796
1,82,No,8,7,57.4839
7,95,Yes,5,6,86.8163
9,67,No,5,9,64.0359
8,85,No,7,2,79.0856
6,87,No,5,3,74.626
8,59,Yes,4,7,52.7448
9,72,No,9,0,69.2905
8,41,Yes,5,1,33.7229
9,56,No,7,9,53.8116
7,91,No,4,3,81.0717
8,76,Yes,4,6,69.8509
6,56,Yes,6,4,44.3495
1,77,No,4,4,49.8568
7,74,Yes,6,7,66.1248
9,86,No,6,6,83.2686
1,74,Yes,7,4,48.8554
4,97,No,5,9,80.2702
6,96,No,9,1,85.3361
8,48,No,9,6,43.1874
1,67,Yes,8,5,42.4142
4,75,No,8,6,58.7423
9,97,No,6,6,94.4652
1,84,No,9,6,59.8081
6,89,Yes,5,2,77.0578
6,89,Yes,8,8,79.7026
2,73,Yes,4,8,50.0303
6,70,Yes,7,6,59.4814
6,87,Yes,9,2,76.9667
4,68,Yes,9,7,52.8949
8,58,No,5,3,50.8284
9,66,Yes,4,7,62.7303
7,67,No,8,0,57.9942
6,63,Yes,6,2,51.0792
1,74,Yes,6,5,48.567
5,43,No,6,0,26.8721
1,46,No,8,8,21.0381
2,61,No,4,8,37.222
6,61,Yes,4,3,48.2689
6,93,No,8,9,83.378
4,95,Yes,8,3,79.1005
8,76,No,5,8,70.1387
2,55,No,5,7,31.4032
5,67,No,8,0,52.2734
3,82,No,5,8,61.944
1,40,No,9,2,14.2308
3,47,No,7,4,26.4998
4,96,No,7,3,79.0384
4,58,No,4,9,40.0869
5,89,No,9,7,76.5368
4,44,Yes,6,8,27.2051
1,98,Yes,5,2,71.9167
2,73,Yes,8,7,51.7773
6,91,Yes,4,3,78.8051
9,54,Yes,9,2,51.958
4,81,Yes,6,3,63.8779
7,56,Yes,8,2,47.7868
7,92,Yes,8,4,84.8257
4,46,No,7,4,28.3423
1,66,Yes,4,2,38.8585
8,68,No,8,7,63.2565
2,46,No,9,1,23.0007
8,82,No,8,3,76.7159
2,58,Yes,5,9,35.4461
5,79,No,4,3,63.1364
4,45,Yes,7,0,27.1274
7,64,Yes,8,6,56.7207
9,79,Yes,8,9,78.3027
6,61,No,7,4,49.3312
5,56,No,8,2,41.4722
8,61,Yes,6,6,55.5551
7,73,Yes,9,5,66.17
7,47,No,7,6,38.3368
5,84,Yes,9,8,72.239
3,63,Yes,5,2,42.0119
4,99,No,8,4,82.7759
9,66,No,8,5,63.6857
2,78,Yes,8,0,55.4826
6,71,Yes,8,7,61.1831
4,67,Yes,4,8,49.6439
8,67,Yes,5,4,60.7808
5,65,No,7,2,50.1469
7,42,Yes,6,3,32.762
2,40,Yes,6,8,17.4128
9,44,No,5,8,40.4271
4,78,No,7,5,61.112
5,74,Yes,5,9,60.3133
5,88,Yes,8,5,75.2312
6,55,Yes,4,7,42.9525
7,65,No,9,7,57.8286
9,64,Yes,9,5,62.7299
9,86,No,5,2,81.9916
9,54,No,8,0,50.4826
1,49,Yes,8,6,24.2901
1,40,Yes,7,6,14.6431
7,73,No,4,0,62.1568
8,62,No,9,8,57.8331
3,82,No,5,6,61.5485
9,64,No,4,3,59.3099
3,52,Yes,8,6,33.0646
4,72,Yes,7,0,54.61
4,81,No,4,1,61.9163
7,71,Yes,5,0,61.201
3,79,Yes,6,0,58.3886
8,83,No,4,1,75.3937
3,80,No,8,7,61.169
3,81,No,5,8,60.9261
2,49,Yes,6,7,26.3759
1,68,No,8,3,42.4428
5,56,No,7,8,42.1723
6,65,No,4,3,51.7466
6,60,Yes,7,5,49.1049
8,56,Yes,6,7,50.6635
2,79,Yes,6,2,55.9236
5,79,Yes,9,1,65.7656
7,88,Yes,6,0,78.9911
8,41,Yes,6,8,35.5931
4,98,Yes,9,4,82.838
9,87,No,7,3,84.1795
6,51,No,5,2,37.7847
1,55,Yes,7,1,28.9227
6,42,No,8,6,30.8732
6,97,No,5,4,85.0024
2,60,No,4,9,36.4019
2,61,No,5,1,36.3242
6,68,Yes,4,5,55.7894
3,48,Yes,7,0,27.3206
9,92,Yes,4,2,88.2065
1,93,No,8,5,68.2851
8,65,Yes,8,4,60.2035
4,45,No,9,1,27.7036
9,87,No,7,7,84.9703
1,50,No,4,6,22.7696
1,49,No,5,7,22.4356
4,86,No,4,2,67.2034
9,73,No,7,0,69.3361
4,70,Yes,9,2,53.942
3,51,Yes,9,2,31.742
1,90,No,5,6,63.9707
4,83,No,4,9,65.5338
9,55,No,8,8,53.0822
6,42,No,9,7,31.5571
3,97,No,9,0,77.575
4,64,No,7,1,46.0709
5,74,No,8,4,60.1894
9,74,Yes,6,5,71.4502
4,61,No,6,4,43.1243
9,76,Yes,5,2,72.4066
9,74,No,4,8,70.4772
4,84,No,9,7,68.587
1,59,Yes,6,0,32.3103
5,81,No,4,4,65.3699
4,43,No,6,7,25.3957
8,97,Yes,6,3,91.6055
3,55,Yes,5,2,33.8689
2,43,Yes,7,8,20.9526
3,77,Yes,6,1,56.5506
8,54,No,4,4,46.4684
1,76,No,7,3,50.0997
7,55,No,7,3,45.8867
6,86,No,9,5,75.9482
5,46,Yes,7,9,32.7851
8,73,Yes,4,7,66.995
2,40,No,8,1,16.4073
5,71,No,8,0,56.3449
2,97,No,4,4,73.0747
9,44,Yes,9,7,42.7678
4,69,No,7,2,51.358
6,55,No,8,3,43.5124
3,41,No,5,8,20.2111
6,80,Yes,5,5,68.4901
5,50,Yes,8,3,36.1565
1,79,No,7,4,53.351
2,68,Yes,7,9,46.5972
5,54,Yes,6,8,40.2442
7,95,No,9,6,88.1671
5,51,Yes,8,8,38.1629
4,64,Yes,9,4,48.2302
1,71,Yes,8,1,45.6948
7,57,Yes,8,6,49.5955
6,46,No,4,7,33.1978
9,84,No,7,4,81.3236
4,45,Yes,4,8,27.2506
7,53,No,6,6,43.9579
1,43,No,7,7,17.3006
6,55,No,8,6,44.1056
3,90,Yes,4,5,69.6015
4,58,Yes,7,1,40.5575
9,43,No,7,4,39.5907
1,90,No,4,6,63.4846
2,80,Yes,4,1,55.7715
2,88,No,4,8,64.7047
3,49,No,4,1,26.4839
8,54,Yes,5,4,47.5484
7,43,Yes,4,1,32.4121
9,50,No,9,3,47.4904
9,50,No,6,5,46.4274
9,47,No,8,9,45.1369
3,90,Yes,8,6,71.7438
3,83,No,8,0,62.8386
6,83,Yes,4,7,71.453
2,89,No,9,0,66.5716
3,53,Yes,8,1,33.0939
8,41,Yes,9,1,35.6675
2,81,No,9,2,58.824
3,75,Yes,9,4,56.5664
3,59,No,4,2,36.8604
4,98,No,5,1,79.7064
9,45,Yes,6,8,42.525
8,87,Yes,8,4,82.5968
5,75,No,7,5,60.9188
4,84,No,4,6,65.9585
1,81,Yes,4,9,55.5107
6,74,Yes,8,1,63.0505
2,67,No,5,5,43.2223
7,67,No,9,3,59.0735
1,50,Yes,8,5,25.1103
6,75,No,7,7,64.1746
7,41,Yes,4,2,30.574
6,59,No,5,9,47.3117
8,41,No,9,1,35.0737
4,50,Yes,6,9,33.51
1,71,No,7,8,45.9989
6,94,No,6,5,82.6327
3,61,Yes,8,7,42.4232
8,56,No,7,4,49.9627
8,75,No,8,9,70.777
1,91,Yes,9,7,67.7248
4,53,No,7,1,34.8743
3,97,Yes,4,2,76.1335
3,48,No,6,9,28.0201
5,51,Yes,7,1,36.2928
6,95,Yes,6,7,84.6398
6,43,No,7,1,30.4163
4,96,Yes,8,9,81.3046
7,64,Yes,9,0,56.0205
5,44,Yes,9,2,30.3377
3,46,Yes,7,4,26.0757
5,78,Yes,8,3,64.657
4,98,Yes,4,9,81.3957
9,81,Yes,9,5,80.0338
2,58,Yes,6,1,34.3505
7,82,Yes,6,9,74.6633
7,42,No,8,3,33.1405
9,57,No,4,4,52.3825
6,59,No,8,2,47.3862
3,68,No,6,6,47.7844
2,94,No,7,5,71.6772
8,62,Yes,8,3,56.9522
6,70,No,5,7,58.1129
6,60,No,7,3,48.1157
4,41,No,4,9,22.783
6,43,No,8,6,31.8911
6,96,Yes,6,4,85.0645
8,46,No,6,0,38.5069
1,58,No,4,6,30.9126
4,83,Yes,7,7,67.1907
4,40,No,5,4,21.2627
7,58,Yes,4,1,47.6802
8,84,No,7,3,78.2655
4,53,No,6,7,35.5744
7,83,Yes,5,5,74.4041
2,78,Yes,8,2,55.8781
7,96,Yes,8,2,88.5018
2,83,Yes,6,0,59.5997
2,40,No,9,2,17.0912
4,71,No,9,7,55.3547
5,47,Yes,8,7,33.8937
3,57,Yes,7,2,36.8769
5,84,Yes,4,7,69.6105
9,68,No,9,3,65.8122
8,71,Yes,8,7,66.9039
7,87,Yes,9,7,80.8157
8,97,Yes,5,7,91.9102
8,49,No,9,8,44.6007
5,73,Yes,9,3,60.0538
4,56,Yes,9,9,41.0758
8,67,Yes,5,9,61.7694
7,77,No,9,8,70.2408
8,89,No,5,3,82.3825
1,94,Yes,5,1,67.6475
7,41,No,6,5,31.5457
7,88,No,7,6,80.0697
8,60,No,7,9,55.0227
2,43,Yes,4,0,17.9124
9,83,Yes,4,8,80.2319
3,73,No,6,7,53.0715
8,48,No,9,3,42.5943
4,46,No,9,1,28.7215
5,69,Yes,9,7,56.7731
6,83,Yes,6,6,72.2276
9,54,Yes,6,7,51.4881
2,95,Yes,9,6,74.459
7,84,No,4,3,73.9466
1,92,Yes,6,7,67.2842
3,58,No,4,7,36.8311
4,79,No,6,6,61.8415
6,80,Yes,9,1,69.6439
3,54,No,5,0,31.8617
8,85,Yes,8,9,81.5496
9,90,Yes,4,9,87.5547
9,94,Yes,6,9,92.5986
7,74,Yes,8,2,66.1086
4,42,No,8,9,25.7456
8,49,Yes,6,3,42.7475
8,51,Yes,9,0,45.6486
1,52,No,9,1,26.2475
9,63,No,4,8,59.2806
2,96,No,9,3,74.2899
2,55,No,4,7,30.9171
1,71,Yes,4,1,43.7502
2,76,No,7,1,52.5646
2,95,Yes,7,5,73.2889
7,86,No,6,0,76.3615
1,51,No,8,3,25.1389
4,99,No,4,9,81.8198
9,40,No,8,2,36.6278
2,61,Yes,7,6,38.8789
8,81,Yes,5,0,74.2402
1,45,Yes,4,5,18.0763
8,59,No,5,3,51.8463
3,60,No,7,7,40.3253
6,45,Yes,8,3,33.9275
6,67,No,5,4,54.4662
3,88,No,9,0,68.4141
5,90,No,8,0,75.6845
3,80,Yes,8,0,60.3788
8,83,Yes,6,6,77.9484
6,58,Yes,9,3,47.646
5,71,No,5,5,55.875
4,84,No,8,8,68.2986
9,88,No,6,7,85.5021
7,87,Yes,4,7,78.3849
3,62,No,5,2,40.4002
2,71,Yes,4,2,46.8083
2,53,Yes,6,8,30.6452
6,60,No,6,3,47.6295
2,40,Yes,5,6,16.5312
8,94,No,9,1,89.0211
8,91,No,6,9,86.0907
3,50,No,5,8,29.372
7,75,Yes,4,1,64.9841
7,93,Yes,6,3,84.6736
1,65,No,4,5,37.84
6,47,Yes,8,4,36.161
3,58,No,8,1,37.5894
4,69,No,5,7,51.3743
1,97,Yes,6,4,71.7804
5,67,No,9,9,54.539
4,92,No,4,8,74.497
7,57,No,9,3,48.8947
5,85,No,6,1,69.8205
1,55,No,5,4,27.9497
6,57,Yes,6,7,45.9605
7,94,No,4,0,83.5322
9,56,No,5,7,52.4439
6,89,Yes,8,4,78.9117
5,70,No,8,2,55.7225
1,56,No,4,9,29.47
6,97,Yes,8,1,86.4616
1,84,No,6,8,58.7451
6,47,No,9,5,36.251
6,77,Yes,4,2,64.3572
6,62,Yes,8,5,51.6268
8,71,No,9,1,65.61
5,88,No,6,6,73.8627
3,78,No,8,2,58.1447
6,84,Yes,8,4,73.8223
1,42,No,8,9,17.1644
1,52,No,7,6,26.2638
8,85,Yes,6,1,78.9956
8,45,No,5,6,38.1892
1,86,Yes,5,4,60.0976
4,92,Yes,4,7,74.8931
8,46,No,6,0,38.5069
4,69,Yes,5,1,50.7818
2,60,Yes,5,9,37.4818
2,44,No,4,1,18.5341
7,90,No,4,8,81.0424
2,69,Yes,5,7,46.2473
5,75,No,9,3,61.4957
5,94,No,8,3,80.3492
7,52,Yes,8,6,44.5062
5,53,No,9,5,39.4979
6,76,Yes,9,9,67.1541
8,52,No,6,2,45.0096
9,97,Yes,9,3,95.9244
4,83,No,4,1,63.9521
6,46,Yes,4,5,33.3962
8,87,Yes,4,5,80.8498
8,46,Yes,8,7,41.457
6,89,Yes,6,5,78.1371
6,59,Yes,7,4,47.8893
3,77,No,7,3,56.8383
9,79,Yes,8,6,77.7096
7,71,No,5,5,61.5958
1,78,No,9,9,54.294
4,61,Yes,4,0,41.9549
7,90,Yes,7,2,81.9084
9,41,Yes,5,2,36.781
7,92,No,4,7,82.8804
9,82,No,5,8,79.1064
3,62,No,4,6,40.7049
7,93,No,9,0,84.9451
9,53,No,6,7,49.8764
6,75,No,4,2,61.7276
2,89,No,4,7,65.5248
4,81,Yes,5,4,63.5894
2,67,No,9,6,45.3646
4,55,Yes,5,8,37.9155
5,54,No,8,6,40.2273
3,79,Yes,9,2,60.2425
7,89,No,4,6,79.6291
4,70,Yes,9,1,53.7443
6,42,Yes,6,8,30.8901
4,87,Yes,9,2,71.2459
9,72,Yes,5,2,68.3351
6,65,No,8,1,53.2958
2,55,Yes,6,3,31.6923
4,55,Yes,5,5,37.3224
7,59,No,9,4,51.1282
4,93,No,6,5,75.894
2,40,Yes,4,8,16.4405
8,81,No,4,3,73.7534
7,43,No,4,2,32.016
5,54,No,8,8,40.6227
8,90,Yes,7,7,85.7574
7,47,No,8,1,37.8344
4,99,No,6,8,82.5944
1,66,No,8,2,40.2094
1,70,Yes,8,9,46.2587
2,69,No,5,4,45.0603
2,54,No,8,8,32.0415
8,40,No,9,8,35.4398
1,92,Yes,6,7,67.2842
6,55,Yes,4,4,42.3593
6,77,Yes,8,4,66.6972
9,49,No,9,3,46.4725
2,76,Yes,5,6,53.1747
9,51,Yes,4,7,47.4622
2,59,No,6,5,35.5655
8,88,No,5,7,82.1555
7,91,No,5,1,81.1624
1,83,Yes,7,6,58.4117
3,41,Yes,4,1,18.9347
6,56,No,4,9,43.772
2,64,No,4,0,38.6939
8,75,No,4,9,68.8324
6,70,No,4,9,58.0222
4,51,No,5,9,33.4479
1,62,No,5,5,35.2725
3,78,No,4,2,56.2
6,54,Yes,5,5,42.0253
2,76,No,9,5,54.3278
5,97,Yes,7,5,83.9059
4,44,Yes,6,9,27.4028
7,78,No,8,5,70.1794
3,59,Yes,8,9,40.7828
1,49,Yes,4,5,22.1478
8,63,Yes,4,8,57.014
9,56,Yes,8,3,53.7053
6,84,No,9,5,73.9124
9,63,Yes,5,9,60.5583
9,82,No,7,6,79.6833
4,60,Yes,8,4,43.6725
7,54,Yes,7,7,46.2535
6,60,Yes,6,2,48.0256
5,41,Yes,5,7,26.328
3,43,No,6,8,22.733
3,99,Yes,6,8,80.3278
5,99,Yes,8,9,87.2186
4,80,No,9,0,63.1315
7,84,No,6,3,74.9189
4,57,Yes,8,1,40.0258
6,64,No,7,1,51.7917
6,93,Yes,5,7,82.1179
4,87,No,8,8,71.3522
6,93,Yes,5,9,82.5133
7,73,No,8,3,64.6946
8,56,No,7,0,49.1718
3,63,Yes,6,5,43.0912
6,42,Yes,8,5,31.2693
4,54,Yes,9,7,38.6446
1,89,Yes,8,5,64.8074
4,78,Yes,9,2,62.085
8,76,Yes,5,4,69.9417
7,91,No,9,2,83.3048
9,43,Yes,4,6,39.1215
9,70,No,4,7,66.208
9,72,Yes,7,5,69.9006
6,78,Yes,5,6,66.652
4,48,Yes,4,3,29.3157
1,67,Yes,4,6,40.6673
6,70,No,7,1,57.899
7,92,No,9,7,85.3112
7,62,Yes,4,9,53.3334
6,55,Yes,6,4,43.3316
1,87,Yes,7,5,62.2855
4,67,Yes,6,1,49.2322
8,80,Yes,9,7,76.551
3,99,No,5,1,77.8638
6,52,No,6,4,39.6842
6,84,Yes,4,7,72.4709
4,92,No,8,8,76.4416
1,95,No,6,9,70.1394
5,70,Yes,8,0,55.9208
4,74,Yes,4,9,56.9667
1,69,Yes,7,2,43.3706
8,92,Yes,4,5,85.9392
2,89,No,8,1,66.2832
9,87,No,5,9,84.3935
2,82,Yes,6,6,59.7681
3,49,No,4,7,27.6702
4,80,No,5,0,61.1869
5,51,No,7,1,35.6989
2,60,Yes,9,1,37.8448
2,88,No,8,8,66.6493
6,75,No,8,9,65.0562
5,72,No,7,3,57.4698
5,98,Yes,6,2,83.8444
7,62,Yes,8,4,54.2895
9,82,No,8,8,80.5648
5,41,Yes,4,8,26.0395
6,99,Yes,5,6,88.0274
3,78,Yes,5,5,57.8731
1,76,No,9,7,51.8628
6,87,Yes,4,2,74.5359
7,40,No,6,1,29.737
9,57,Yes,8,3,54.7232
5,97,No,9,4,84.0867
5,59,Yes,9,0,45.2104
3,73,No,8,6,53.8461
3,81,No,6,2,60.226
4,63,No,9,3,46.4208
5,94,Yes,4,0,78.4052
7,75,Yes,8,4,67.5219
3,46,No,4,9,25.012
9,49,No,7,5,45.8957
7,40,Yes,8,6,32.2917
2,89,Yes,5,5,66.2094
9,84,No,9,3,82.0982
4,91,Yes,8,9,76.2152
7,87,Yes,7,9,80.2388
9,92,Yes,9,5,91.2304
9,71,No,7,5,68.2889
4,60,Yes,7,8,43.9772
4,80,No,7,8,63.7409
4,81,No,8,1,63.861
2,40,Yes,5,9,17.1243
2,83,Yes,8,4,61.3629
2,94,No,6,0,70.2025
2,86,Yes,6,2,63.0487
7,97,No,7,7,89.4283
3,70,Yes,7,1,49.9116
7,74,Yes,9,4,66.9902
7,96,No,9,6,89.185
6,89,No,5,5,77.0571
8,44,No,8,2,37.8389
7,89,Yes,5,7,80.9068
8,75,Yes,8,2,69.9868
7,66,No,4,5,56.0203
1,54,No,7,7,28.4973
7,44,No,5,2,33.52
3,91,No,7,7,71.8794
7,50,Yes,5,0,39.8257
7,45,No,7,5,36.1034
3,86,Yes,9,0,66.9722
2,98,No,8,8,76.828
6,66,No,9,8,56.1838
1,90,No,7,7,65.1408
6,69,No,5,5,56.6996
1,74,No,4,0,46.0123
2,81,No,9,4,59.2195
9,76,Yes,6,5,73.4859
9,71,Yes,5,0,66.9218
6,74,Yes,8,6,64.039
3,71,No,4,5,49.668
8,62,No,4,3,54.4137
2,72,Yes,9,8,51.4433
1,64,Yes,8,0,38.372
8,63,Yes,8,3,57.9701
4,78,No,4,6,59.8513
9,85,Yes,5,0,81.1721
1,52,No,5,8,25.6869
9,62,No,9,1,59.3095
3,75,No,6,9,55.5027
6,55,No,4,6,42.1609
3,55,Yes,8,5,35.9205
3,81,No,8,8,62.3846
2,94,Yes,6,8,72.378
8,95,No,7,6,90.0552
7,50,No,6,8,41.2997
9,51,No,7,1,47.1405
6,67,Yes,5,0,54.2691
4,40,No,6,2,21.3535
4,95,No,9,8,79.9814
8,82,No,9,5,77.5975
9,63,Yes,9,6,61.9098
1,86,No,6,9,60.9785
7,64,Yes,6,9,56.3415
5,99,No,4,7,84.2848
8,68,No,5,1,60.6117
4,56,No,6,9,39.0235
7,99,No,6,6,90.7802
8,83,No,4,4,75.9868
7,99,Yes,4,3,89.8085
9,75,Yes,7,9,73.7451
7,91,Yes,4,9,82.8518
6,90,No,6,3,78.1657
3,42,No,9,4,22.3827
6,52,No,4,4,38.7119
3,40,Yes,7,3,19.7708
8,87,No,7,6,81.9122
9,89,Yes,9,3,87.7814
7,93,Yes,6,4,84.8713
6,70,No,8,1,58.3851
8,48,No,9,4,42.792
3,69,Yes,6,7,49.5938
3,98,No,7,2,78.016
2,97,Yes,5,9,75.1432
9,76,No,5,9,73.1968
7,55,Yes,4,5,45.4174
1,76,Yes,7,3,50.6935
3,63,Yes,9,9,45.3405
6,48,Yes,4,0,34.4433
3,62,No,7,0,40.9771
8,74,No,7,7,68.8776
6,46,No,6,2,33.1815
8,69,Yes,4,5,62.5281
9,74,Yes,8,4,72.2248
4,96,No,7,9,80.2246
8,72,Yes,7,8,67.6333
6,92,Yes,5,3,80.3092
3,67,Yes,5,3,46.2811
9,42,Yes,7,1,38.5735
4,57,Yes,4,1,38.0811
2,92,Yes,5,3,68.8676
2,66,No,7,4,42.979
7,40,No,7,6,31.2117
7,45,No,9,7,37.4711
9,50,Yes,6,2,46.428
6,73,Yes,4,8,61.4719
8,78,No,8,1,72.2489
8,60,No,5,2,52.6664
1,95,No,8,4,70.1232
1,52,Yes,6,3,25.7783
2,77,Yes,8,5,55.4533
1,91,Yes,6,3,65.4754
7,40,No,8,2,30.907
5,78,Yes,6,6,64.2778
5,71,Yes,5,0,55.4802
9,88,No,8,8,86.6721
6,43,No,4,5,29.7487
1,48,No,9,5,22.9669
8,45,No,9,0,38.9475
7,93,Yes,4,6,84.2944
8,74,No,5,5,67.5098
6,57,No,8,8,46.5368
1,99,No,6,1,72.6292
7,54,No,6,7,45.1735
2,56,Yes,5,3,32.224
7,82,No,4,4,72.1085
2,54,No,8,0,30.4598
2,58,No,8,4,35.3222
4,65,No,5,2,46.3142
2,61,No,9,0,38.0711
9,62,No,6,7,59.0373
3,52,Yes,4,7,31.3176
4,67,Yes,7,1,49.7184
6,96,No,6,6,84.8661
8,76,No,9,4,71.2925
6,83,Yes,6,7,72.4253
1,72,No,6,4,45.7397
6,83,Yes,7,1,71.7252
7,84,Yes,7,6,76.592
4,75,Yes,8,9,59.9292
9,58,Yes,4,2,53.5987
7,72,Yes,9,4,64.9544
1,83,No,4,5,56.1617
7,86,No,5,7,77.2593
9,50,No,9,9,48.6767
8,81,No,6,2,74.528
6,41,Yes,7,8,30.3584
3,65,Yes,6,6,45.3246
7,56,No,4,0,44.8529
3,56,No,9,3,36.4353
2,69,Yes,9,1,47.0056
3,79,No,6,0,57.7948
4,63,Yes,5,9,46.2563
6,43,No,8,9,32.4842
5,77,No,9,1,63.136
5,68,Yes,8,9,55.6645
1,91,No,6,2,64.6839
4,45,No,9,9,29.2853
7,85,No,6,7,76.7276
2,52,Yes,4,5,28.0618
6,70,No,7,4,58.4921
2,87,Yes,7,3,64.7505
1,94,Yes,6,3,68.5291
7,52,No,8,5,43.7146
9,46,No,8,5,43.3282
2,78,No,8,4,55.6797
1,78,No,7,8,53.124
6,97,Yes,5,4,85.5962
3,81,No,6,6,61.0168
2,44,Yes,5,1,19.6141
7,40,Yes,8,9,32.8848
1,77,No,6,5,51.0268
2,54,Yes,4,7,30.493
7,69,No,6,1,59.2553
5,71,No,5,8,56.4681
8,53,No,5,2,45.5413
5,67,Yes,6,1,52.0926
5,63,No,5,5,47.732
2,68,Yes,9,6,46.9763
4,73,No,7,9,56.8135
2,69,No,8,3,46.3211
1,55,Yes,7,4,29.5158
4,42,No,4,9,23.8009
8,97,No,9,7,93.261
9,83,Yes,7,3,80.7018
5,64,No,7,3,49.3268
1,80,No,6,3,53.685
1,83,No,5,3,56.2525
3,43,Yes,6,1,21.9428
1,46,Yes,5,0,18.5918
7,85,Yes,8,0,76.9098
8,48,No,8,2,41.9104
6,59,No,8,0,46.9908
4,40,Yes,8,5,23.5128
8,93,Yes,5,1,86.6524
1,66,No,8,2,40.2094
9,60,Yes,8,1,57.3814
6,63,Yes,9,3,52.7354
7,74,Yes,5,7,65.6387
7,60,No,5,8,50.9923
1,99,Yes,9,3,75.0769
9,52,Yes,7,7,49.9385
1,46,No,8,1,19.6541
2,63,Yes,7,6,40.9146
5,82,No,5,2,66.4785
2,52,No,6,1,27.6495
7,78,No,5,0,67.7323
3,91,Yes,6,7,71.9871
7,61,Yes,8,0,52.4808
6,51,Yes,9,3,40.5209
3,97,No,7,1,76.8004
7,83,Yes,5,9,75.195
3,98,Yes,7,4,79.0052
6,66,Yes,4,9,54.5445
7,62,Yes,8,0,53.4986
3,69,No,6,2,48.0115
7,74,No,8,1,65.317
7,64,Yes,4,8,55.1715
7,71,No,4,1,60.3188
9,63,No,7,9,60.9368
7,75,Yes,6,1,65.9564
2,81,Yes,4,9,58.3711
6,70,No,9,2,59.069
2,71,No,6,7,48.1754
3,59,Yes,6,3,38.6242
8,98,Yes,8,2,93.398
4,79,No,8,5,62.6161
6,57,Yes,6,5,45.5651
2,85,Yes,9,5,64.0825
7,74,No,9,8,67.1872
7,42,No,6,3,32.1681
7,43,Yes,9,6,35.8315
1,44,No,4,8,17.0577
6,68,No,9,7,58.0218
6,41,No,8,5,29.6576
8,66,No,7,2,59.746
8,72,No,4,6,65.1856
8,60,No,5,3,52.8641
9,70,No,9,3,67.8479
8,92,No,7,5,86.8039
4,88,Yes,4,6,70.6238
2,64,No,6,3,40.2594
2,44,Yes,4,0,18.9302
2,59,Yes,6,2,35.5661
1,68,No,7,8,42.9452
2,48,Yes,6,2,24.3695
4,67,No,7,8,50.5086
2,66,No,4,5,41.7183
8,47,Yes,8,6,42.2772
7,67,No,8,3,58.5873
8,87,No,5,3,80.3468
5,69,No,7,6,55.0093
6,61,Yes,6,1,48.8458
2,59,No,8,3,36.1423
5,42,No,6,2,26.2496
6,44,No,5,1,30.4619
7,65,No,8,3,56.5516
8,96,Yes,8,5,91.9554
7,52,Yes,6,9,44.127
5,54,No,4,9,38.8758
6,65,No,4,0,51.1534
4,87,Yes,8,9,72.1437
5,48,No,5,3,32.0684
8,82,No,8,5,77.1113
8,45,Yes,9,9,41.3208
3,42,No,8,9,22.8852
5,53,No,7,0,37.537
8,63,No,5,8,56.9063
3,83,Yes,9,1,64.1163
9,54,Yes,7,3,51.1834
6,76,Yes,4,3,63.537
6,83,Yes,6,9,72.8207
2,42,Yes,6,8,19.4485
4,73,No,7,4,55.8249
3,92,No,8,0,71.9995
9,78,Yes,6,7,75.9171
2,82,No,9,2,59.8419
2,85,Yes,4,7,62.0471
9,71,No,4,6,67.0281
4,82,No,6,6,64.8951
4,87,No,5,2,68.7074
2,96,No,8,2,73.606
1,86,Yes,5,0,59.3068
8,79,Yes,8,6,74.8492
6,42,No,4,9,29.5217
1,85,Yes,7,8,60.8429
9,50,No,5,8,46.5344
8,61,No,6,9,55.5545
8,61,Yes,9,3,56.4205
2,57,Yes,7,5,34.6097
9,95,Yes,4,5,91.8532
8,84,No,4,6,77.4001
7,90,Yes,8,9,83.7786
4,48,Yes,7,8,31.7627
5,62,No,5,9,47.505
2,63,Yes,6,9,41.0216
3,79,Yes,4,9,59.1957
7,46,No,9,8,38.6867
